company_id,type,rule_id,text,confidence_pct
ABB,PRO,PRO_01,Company has strong Return on Equity of 34.1% (≥15%).,88.7
ABB,PRO,PRO_02,Company has strong Return on Capital Employed of 45.5% (≥15%).,100.0
ABB,PRO,PRO_03,Company is almost debt free.,90.0
ABB,PRO,PRO_04,Company generates positive Free Cash Flow of ₹1095 Cr.,63.1
ABB,PRO,PRO_06,Company has delivered strong profit growth of 21.7% CAGR over last 5 years.,79.5
ABB,PRO,PRO_07,Company maintains a healthy net profit margin of 20.5%.,68.6
ABB,PRO,PRO_08,Company has been maintaining a healthy dividend payout of 73.0%.,100.0
ABB,PRO,PRO_09,Company has strong interest coverage ratio of 135.8x.,100.0
ABB,PRO,PRO_10,Company operates with a conservative debt-to-equity ratio of 0.02.,79.2
ABB,PRO,PRO_11,Company efficiently utilises assets with an Asset Turnover ratio of 1.16x.,63.2
ABB,PRO,PRO_12,Company demonstrates strong cash conversion with FCF Conversion of 0.91x.,72.3
ABB,PRO,PRO_BASELINE,"Company is a Nifty 100 constituent, signifying size and liquidity benchmark status.",62.0
ABB,CON,CON_BASELINE,Stock valuation incorporates a premium that may limit near-term upside.,62.0
ADANIENSOL,PRO,PRO_04,Company generates positive Free Cash Flow of ₹1095 Cr.,63.1
ADANIENSOL,PRO,PRO_05,Company has delivered good revenue growth of 17.9% CAGR over last 5 years.,73.8
ADANIENSOL,PRO,PRO_06,Company has delivered strong profit growth of 16.4% CAGR over last 5 years.,71.6
ADANIENSOL,PRO,PRO_12,Company demonstrates strong cash conversion with FCF Conversion of 0.92x.,72.6
ADANIENSOL,PRO,PRO_BASELINE,"Company is a Nifty 100 constituent, signifying size and liquidity benchmark status.",62.0
ADANIENSOL,CON,CON_01,Company has low Return on Equity of 5.7% (<10%).,68.6
ADANIENSOL,CON,CON_02,Company has low Return on Capital Employed of 7.6% (<10%).,64.8
ADANIENSOL,CON,CON_09,"Company has not paid dividends, offering no income return to shareholders.",65.0
ADANIENSOL,CON,CON_11,Company shows poor asset utilisation with Asset Turnover of 0.24x.,63.0
ADANIENSOL,CON,CON_BASELINE,Stock valuation incorporates a premium that may limit near-term upside.,62.0
ADANIENT,PRO,PRO_05,Company has delivered good revenue growth of 19.0% CAGR over last 5 years.,75.5
ADANIENT,PRO,PRO_06,Company has delivered strong profit growth of 45.8% CAGR over last 5 years.,100.0
ADANIENT,PRO,PRO_BASELINE,"Company is a Nifty 100 constituent, signifying size and liquidity benchmark status.",62.0
ADANIENT,CON,CON_01,Company has low Return on Equity of 8.0% (<10%).,64.1
ADANIENT,CON,CON_02,Company has low Return on Capital Employed of 7.8% (<10%).,64.5
ADANIENT,CON,CON_04,Company has negative Free Cash Flow of ₹-8455 Cr.,68.5
ADANIENT,CON,CON_07,Company operates on thin net profit margins of 3.5%.,68.2
ADANIENT,CON,CON_12,Company's FCF Conversion of -2.54x suggests poor cash realisation from profits.,85.4
ADANIENT,CON,CON_BASELINE,Stock valuation incorporates a premium that may limit near-term upside.,62.0
ADANIGREEN,PRO,PRO_05,Company has delivered good revenue growth of 35.0% CAGR over last 5 years.,99.5
ADANIGREEN,PRO,PRO_BASELINE,"Company is a Nifty 100 constituent, signifying size and liquidity benchmark status.",62.0
ADANIGREEN,CON,CON_02,Company has low Return on Capital Employed of 8.6% (<10%).,62.9
ADANIGREEN,CON,CON_03,Company carries high financial leverage with D/E of 6.38x.,81.9
ADANIGREEN,CON,CON_04,Company has negative Free Cash Flow of ₹-13347 Cr.,73.3
ADANIGREEN,CON,CON_08,"Company has a low interest coverage ratio of 1.3x, indicating potential debt service risk.",71.7
ADANIGREEN,CON,CON_09,"Company has not paid dividends, offering no income return to shareholders.",65.0
ADANIGREEN,CON,CON_10,Company has elevated debt-to-equity ratio of 6.38x.,81.9
ADANIGREEN,CON,CON_11,Company shows poor asset utilisation with Asset Turnover of 0.09x.,70.5
ADANIGREEN,CON,CON_12,Company's FCF Conversion of -10.59x suggests poor cash realisation from profits.,100.0
ADANIGREEN,CON,CON_BASELINE,Stock valuation incorporates a premium that may limit near-term upside.,62.0
ADANIPORTS,PRO,PRO_04,Company generates positive Free Cash Flow of ₹8250 Cr.,70.2
ADANIPORTS,PRO,PRO_05,Company has delivered good revenue growth of 19.6% CAGR over last 5 years.,76.4
ADANIPORTS,PRO,PRO_06,Company has delivered strong profit growth of 14.9% CAGR over last 5 years.,69.4
ADANIPORTS,PRO,PRO_07,Company maintains a healthy net profit margin of 30.3%.,80.4
